Year,Month,Day,station,PromDiario,Max,Min,indice,Zona
2019,4,28,ACO,57.0,82.0,25.0,74.059,NE
2019,4,29,ACO,68.0,177.0,24.0,89.912,NE
2019,4,30,ACO,40.0,80.0,7.0,50.0,NE
2019,5,1,ACO,66.0,88.0,46.0,87.029,NE
2019,5,3,ACO,49.0,105.0,30.0,62.529,NE
2019,5,4,ACO,57.0,83.0,37.0,74.059,NE
2019,5,5,ACO,56.0,105.0,39.0,72.618,NE
2019,5,6,ACO,21.0,52.0,3.0,26.25,NE
2019,5,13,ACO,116.0,156.0,71.0,115.203,NE
2019,5,14,ACO,123.0,173.0,65.0,117.688,NE
2019,5,15,ACO,85.0,120.0,56.0,104.196,NE
2019,5,16,ACO,76.0,146.0,30.0,101.0,NE
2019,5,17,ACO,50.0,104.0,29.0,63.971,NE
2019,5,18,ACO,58.0,108.0,29.0,75.5,NE
2019,5,19,ACO,50.0,77.0,30.0,63.971,NE
2019,5,20,ACO,54.0,86.0,31.0,69.735,NE
2019,5,21,ACO,68.0,121.0,28.0,89.912,NE
2019,5,22,ACO,42.0,69.0,22.0,52.441,NE
2019,5,23,ACO,59.0,100.0,33.0,76.941,NE
2019,5,24,ACO,49.0,81.0,26.0,62.529,NE
2019,5,25,ACO,46.0,75.0,23.0,58.206,NE
2019,5,26,ACO,35.0,63.0,24.0,43.75,NE
2019,5,27,ACO,46.0,77.0,21.0,58.206,NE
2019,5,28,ACO,57.0,83.0,38.0,74.059,NE
2019,5,29,ACO,63.0,117.0,44.0,82.706,NE
2019,5,30,ACO,65.0,114.0,32.0,85.588,NE
2019,5,31,ACO,38.0,83.0,17.0,47.5,NE
2019,6,1,ACO,61.0,80.0,35.0,79.824,NE
2019,6,2,ACO,82.0,119.0,63.0,103.13,NE
2019,6,3,ACO,42.0,64.0,23.0,52.441,NE
2019,6,4,ACO,60.0,85.0,41.0,78.382,NE
2019,6,5,ACO,69.0,109.0,42.0,91.353,NE
2019,6,6,ACO,18.0,44.0,2.0,22.5,NE
2019,6,15,ACO,31.0,50.0,17.0,38.75,NE
2019,6,16,ACO,30.0,58.0,11.0,37.5,NE
2019,6,17,ACO,40.0,65.0,16.0,50.0,NE
2019,6,18,ACO,38.0,103.0,16.0,47.5,NE
2019,6,22,ACO,36.0,52.0,11.0,45.0,NE
2019,6,23,ACO,31.0,65.0,2.0,38.75,NE
2019,6,24,ACO,10.0,25.0,1.0,12.5,NE
2019,6,25,ACO,15.0,45.0,1.0,18.75,NE
2019,6,26,ACO,22.0,46.0,5.0,27.5,NE
2019,6,27,ACO,20.0,44.0,4.0,25.0,NE
2019,6,28,ACO,19.0,35.0,8.0,23.75,NE
2019,6,29,ACO,16.0,23.0,6.0,20.0,NE
2019,7,1,ACO,58.0,87.0,41.0,75.5,NE
2019,7,2,ACO,79.0,139.0,46.0,102.065,NE
2019,7,3,ACO,50.0,82.0,23.0,63.971,NE
2019,7,4,ACO,58.0,107.0,29.0,75.5,NE
2019,7,5,ACO,84.0,114.0,43.0,103.841,NE
2019,7,6,ACO,28.0,52.0,9.0,35.0,NE
2019,8,1,ACO,60.0,133.0,19.0,78.382,NE
2019,8,2,ACO,45.0,66.0,23.0,56.765,NE
2019,8,3,ACO,59.0,95.0,35.0,76.941,NE
2019,8,4,ACO,53.0,109.0,18.0,68.294,NE
2019,8,5,ACO,92.0,152.0,66.0,106.681,NE
2019,8,6,ACO,28.0,46.0,4.0,35.0,NE
2019,9,1,ACO,51.0,81.0,17.0,65.412,NE
2019,9,2,ACO,43.0,92.0,20.0,53.882,NE
2019,9,3,ACO,70.0,120.0,36.0,92.794,NE
2019,9,4,ACO,25.0,50.0,12.0,31.25,NE
2019,9,5,ACO,100.0,174.0,56.0,109.522,NE
2019,9,6,ACO,30.0,43.0,10.0,37.5,NE
2019,10,1,ACO,48.0,114.0,19.0,61.088,NE
2019,10,2,ACO,55.0,102.0,24.0,71.176,NE
2019,10,3,ACO,69.0,104.0,47.0,91.353,NE
2019,10,4,ACO,49.0,126.0,25.0,62.529,NE
2019,10,5,ACO,80.0,119.0,18.0,102.42,NE
2019,10,6,ACO,33.0,70.0,7.0,41.25,NE
2019,11,1,ACO,59.0,129.0,24.0,76.941,NE
2019,11,2,ACO,75.0,115.0,48.0,100.0,NE
2019,11,3,ACO,77.0,159.0,43.0,101.355,NE
2019,11,4,ACO,87.0,142.0,53.0,104.906,NE
2019,11,5,ACO,84.0,157.0,32.0,103.841,NE
2019,11,6,ACO,20.0,35.0,10.0,25.0,NE
2019,12,1,ACO,48.0,87.0,11.0,61.088,NE
2019,12,2,ACO,67.0,125.0,20.0,88.471,NE
2019,12,3,ACO,79.0,105.0,48.0,102.065,NE
2019,12,4,ACO,93.0,147.0,38.0,107.036,NE
2019,12,5,ACO,109.0,176.0,50.0,112.717,NE
2020,1,4,ACO,56.0,133.0,32.0,72.618,NE
2020,1,8,ACO,20.0,35.0,7.0,25.0,NE
2020,1,9,ACO,26.0,56.0,11.0,32.5,NE
2020,1,10,ACO,32.0,48.0,15.0,40.0,NE
2020,1,11,ACO,50.0,112.0,8.0,63.971,NE
2020,1,12,ACO,62.0,108.0,32.0,81.265,NE
2020,2,4,ACO,52.0,153.0,7.0,66.853,NE
2020,2,9,ACO,25.0,43.0,10.0,31.25,NE
2020,2,10,ACO,27.0,58.0,13.0,33.75,NE
2020,2,11,ACO,19.0,39.0,8.0,23.75,NE
2020,2,12,ACO,50.0,84.0,26.0,63.971,NE
2020,3,4,ACO,34.0,65.0,16.0,42.5,NE
2020,3,9,ACO,27.0,46.0,12.0,33.75,NE
2020,3,10,ACO,24.0,56.0,4.0,30.0,NE
2020,3,11,ACO,35.0,86.0,6.0,43.75,NE
2020,3,12,ACO,67.0,105.0,43.0,88.471,NE
2020,3,13,ACO,56.0,93.0,34.0,72.618,NE
2020,3,14,ACO,70.0,232.0,35.0,92.794,NE
2020,3,15,ACO,36.0,67.0,10.0,45.0,NE
2020,3,16,ACO,37.0,94.0,10.0,46.25,NE
2020,3,17,ACO,25.0,51.0,11.0,31.25,NE
2020,3,18,ACO,46.0,143.0,22.0,58.206,NE
2020,3,19,ACO,42.0,74.0,19.0,52.441,NE
2020,3,20,ACO,42.0,71.0,29.0,52.441,NE
2020,3,21,ACO,32.0,60.0,17.0,40.0,NE
2020,3,22,ACO,41.0,53.0,26.0,51.0,NE
2020,3,23,ACO,43.0,68.0,26.0,53.882,NE
2020,3,24,ACO,52.0,95.0,26.0,66.853,NE
2020,3,25,ACO,63.0,119.0,24.0,82.706,NE
2020,3,26,ACO,73.0,116.0,37.0,97.118,NE
2020,3,27,ACO,77.0,161.0,38.0,101.355,NE
2020,3,28,ACO,67.0,100.0,32.0,88.471,NE
2020,3,29,ACO,70.0,200.0,35.0,92.794,NE
2020,3,30,ACO,61.0,88.0,29.0,79.824,NE
2020,3,31,ACO,57.0,112.0,27.0,74.059,NE
2020,4,8,ACO,20.0,32.0,13.0,25.0,NE
2020,4,9,ACO,15.0,40.0,6.0,18.75,NE
2020,4,10,ACO,28.0,47.0,5.0,35.0,NE
2020,4,11,ACO,55.0,187.0,14.0,71.176,NE
2020,4,12,ACO,64.0,144.0,25.0,84.147,NE
2020,4,13,ACO,50.0,88.0,28.0,63.971,NE
2020,4,14,ACO,55.0,88.0,38.0,71.176,NE
2020,4,15,ACO,58.0,85.0,38.0,75.5,NE
2020,4,16,ACO,49.0,101.0,28.0,62.529,NE
2020,4,17,ACO,48.0,69.0,29.0,61.088,NE
2020,4,21,ACO,49.0,89.0,26.0,62.529,NE
2020,5,8,ACO,21.0,33.0,13.0,26.25,NE
2020,5,9,ACO,15.0,45.0,1.0,18.75,NE
2020,5,10,ACO,32.0,55.0,11.0,40.0,NE
2020,5,11,ACO,57.0,141.0,20.0,74.059,NE
2020,5,12,ACO,54.0,82.0,21.0,69.735,NE
2020,6,8,ACO,22.0,46.0,9.0,27.5,NE
2020,6,9,ACO,8.0,23.0,2.0,10.0,NE
2020,6,10,ACO,44.0,75.0,31.0,55.324,NE
2020,6,11,ACO,62.0,138.0,32.0,81.265,NE
2020,6,12,ACO,50.0,80.0,14.0,63.971,NE
2020,7,4,ACO,38.0,63.0,15.0,47.5,NE
2020,7,8,ACO,15.0,32.0,3.0,18.75,NE
2020,7,9,ACO,16.0,38.0,3.0,20.0,NE
2020,7,10,ACO,53.0,103.0,13.0,68.294,NE
2020,7,11,ACO,61.0,120.0,35.0,79.824,NE
2020,7,12,ACO,34.0,103.0,12.0,42.5,NE
2020,7,23,ACO,34.0,91.0,18.0,42.5,NE
2020,7,24,ACO,24.0,45.0,7.0,30.0,NE
2020,7,25,ACO,29.0,53.0,13.0,36.25,NE
2020,7,26,ACO,17.0,38.0,5.0,21.25,NE
2020,7,27,ACO,22.0,48.0,6.0,27.5,NE
2020,7,28,ACO,14.0,33.0,2.0,17.5,NE
2020,7,29,ACO,13.0,35.0,2.0,16.25,NE
2020,7,30,ACO,27.0,90.0,10.0,33.75,NE
2020,7,31,ACO,20.0,39.0,9.0,25.0,NE
2020,8,4,ACO,44.0,97.0,25.0,55.324,NE
2020,8,8,ACO,8.0,35.0,1.0,10.0,NE
2020,8,9,ACO,27.0,67.0,4.0,33.75,NE
2020,8,10,ACO,46.0,103.0,14.0,58.206,NE
2020,8,11,ACO,55.0,80.0,34.0,71.176,NE
2020,8,12,ACO,46.0,83.0,21.0,58.206,NE
2020,8,13,ACO,27.0,68.0,8.0,33.75,NE
2020,8,14,ACO,28.0,72.0,13.0,35.0,NE
2020,8,15,ACO,19.0,32.0,6.0,23.75,NE
2020,8,16,ACO,14.0,34.0,3.0,17.5,NE
2020,8,17,ACO,21.0,38.0,4.0,26.25,NE
2020,8,18,ACO,18.0,31.0,8.0,22.5,NE
2020,8,19,ACO,25.0,59.0,3.0,31.25,NE
2020,8,20,ACO,27.0,74.0,8.0,33.75,NE
2020,8,21,ACO,27.0,43.0,17.0,33.75,NE
2020,8,22,ACO,26.0,42.0,15.0,32.5,NE
2020,8,23,ACO,22.0,45.0,7.0,27.5,NE
2020,8,24,ACO,20.0,54.0,3.0,25.0,NE
2020,8,25,ACO,12.0,33.0,3.0,15.0,NE
2020,8,26,ACO,12.0,32.0,1.0,15.0,NE
2020,8,27,ACO,13.0,32.0,4.0,16.25,NE
2020,8,28,ACO,19.0,43.0,6.0,23.75,NE
2020,8,29,ACO,23.0,50.0,7.0,28.75,NE
2020,8,30,ACO,14.0,30.0,2.0,17.5,NE
2020,8,31,ACO,22.0,69.0,5.0,27.5,NE
2020,9,4,ACO,44.0,80.0,18.0,55.324,NE
2020,9,8,ACO,11.0,23.0,1.0,13.75,NE
2020,9,9,ACO,28.0,48.0,5.0,35.0,NE
