Year,Month,Day,station,PromDiario,Max,Min,indice,Zona
2019,4,13,AJM,20.0,58.0,5.0,62.766,SO
2019,4,14,AJM,38.0,61.0,15.0,89.574,SO
2019,4,15,AJM,35.0,44.0,22.0,85.106,SO
2019,4,16,AJM,35.0,51.0,20.0,85.106,SO
2019,4,17,AJM,30.0,41.0,22.0,77.66,SO
2019,4,18,AJM,23.0,62.0,3.0,67.234,SO
2019,4,19,AJM,19.0,35.0,3.0,61.277,SO
2019,4,20,AJM,18.0,28.0,12.0,59.787,SO
2019,4,21,AJM,18.0,24.0,9.0,59.787,SO
2019,4,22,AJM,27.0,38.0,19.0,73.191,SO
2019,4,23,AJM,26.0,40.0,17.0,71.702,SO
2019,4,24,AJM,33.0,50.0,21.0,82.128,SO
2019,4,25,AJM,29.0,51.0,11.0,76.17,SO
2019,4,26,AJM,34.0,49.0,20.0,83.617,SO
2019,4,27,AJM,35.0,63.0,22.0,85.106,SO
2019,4,28,AJM,34.0,45.0,26.0,83.617,SO
2019,4,29,AJM,38.0,69.0,20.0,89.574,SO
2019,4,30,AJM,20.0,41.0,6.0,62.766,SO
2019,5,1,AJM,30.0,43.0,17.0,77.66,SO
2019,5,3,AJM,13.0,27.0,3.0,52.34,SO
2019,5,4,AJM,27.0,36.0,18.0,73.191,SO
2019,5,5,AJM,34.0,43.0,12.0,83.617,SO
2019,5,6,AJM,11.0,18.0,4.0,45.833,SO
2019,5,7,AJM,22.0,54.0,10.0,65.745,SO
2019,5,8,AJM,14.0,25.0,4.0,53.83,SO
2019,5,9,AJM,21.0,40.0,8.0,64.255,SO
2019,5,10,AJM,15.0,31.0,2.0,55.319,SO
2019,5,11,AJM,15.0,41.0,4.0,55.319,SO
2019,5,12,AJM,19.0,47.0,4.0,61.277,SO
2019,5,13,AJM,68.0,117.0,44.0,122.455,SO
2019,5,14,AJM,55.0,83.0,38.0,110.275,SO
2019,5,15,AJM,61.0,105.0,31.0,115.897,SO
2019,5,16,AJM,60.0,91.0,29.0,114.96,SO
2019,5,17,AJM,31.0,48.0,11.0,79.149,SO
2019,5,18,AJM,24.0,37.0,13.0,68.723,SO
2019,5,19,AJM,23.0,34.0,11.0,67.234,SO
2019,5,20,AJM,31.0,60.0,19.0,79.149,SO
2019,5,21,AJM,30.0,38.0,19.0,77.66,SO
2019,5,22,AJM,19.0,28.0,10.0,61.277,SO
2019,5,23,AJM,30.0,43.0,20.0,77.66,SO
2019,5,24,AJM,31.0,53.0,12.0,79.149,SO
2019,5,25,AJM,25.0,43.0,11.0,70.213,SO
2019,5,26,AJM,15.0,29.0,10.0,55.319,SO
2019,5,27,AJM,24.0,44.0,17.0,68.723,SO
2019,5,28,AJM,29.0,45.0,18.0,76.17,SO
2019,5,29,AJM,31.0,42.0,19.0,79.149,SO
2019,5,30,AJM,26.0,38.0,14.0,71.702,SO
2019,5,31,AJM,19.0,31.0,6.0,61.277,SO
2019,6,1,AJM,21.0,33.0,13.0,64.255,SO
2019,6,3,AJM,18.0,43.0,2.0,59.787,SO
2019,6,4,AJM,25.0,34.0,14.0,70.213,SO
2019,6,5,AJM,31.0,42.0,18.0,79.149,SO
2019,6,6,AJM,16.0,32.0,1.0,56.809,SO
2019,6,7,AJM,15.0,31.0,5.0,55.319,SO
2019,6,8,AJM,12.0,31.0,3.0,50.0,SO
2019,6,9,AJM,22.0,44.0,11.0,65.745,SO
2019,6,10,AJM,11.0,26.0,3.0,45.833,SO
2019,6,11,AJM,12.0,29.0,2.0,50.0,SO
2019,6,12,AJM,9.0,23.0,2.0,37.5,SO
2019,6,13,AJM,11.0,25.0,3.0,45.833,SO
2019,6,14,AJM,12.0,28.0,4.0,50.0,SO
2019,6,15,AJM,19.0,32.0,2.0,61.277,SO
2019,6,16,AJM,22.0,40.0,11.0,65.745,SO
2019,6,17,AJM,20.0,30.0,11.0,62.766,SO
2019,6,18,AJM,13.0,22.0,4.0,52.34,SO
2019,6,19,AJM,21.0,48.0,7.0,64.255,SO
2019,6,20,AJM,28.0,58.0,7.0,74.681,SO
2019,6,21,AJM,18.0,34.0,6.0,59.787,SO
2019,6,22,AJM,23.0,44.0,8.0,67.234,SO
2019,6,23,AJM,15.0,38.0,4.0,55.319,SO
2019,6,24,AJM,9.0,20.0,1.0,37.5,SO
2019,6,25,AJM,14.0,31.0,1.0,53.83,SO
2019,6,26,AJM,20.0,62.0,8.0,62.766,SO
2019,6,27,AJM,12.0,21.0,3.0,50.0,SO
2019,6,28,AJM,10.0,16.0,6.0,41.667,SO
2019,6,29,AJM,10.0,28.0,2.0,41.667,SO
2019,6,30,AJM,16.0,27.0,2.0,56.809,SO
2019,7,1,AJM,16.0,30.0,8.0,56.809,SO
2019,7,3,AJM,18.0,29.0,13.0,59.787,SO
2019,7,4,AJM,21.0,32.0,9.0,64.255,SO
2019,7,5,AJM,24.0,36.0,7.0,68.723,SO
2019,7,6,AJM,13.0,42.0,2.0,52.34,SO
2019,7,7,AJM,18.0,35.0,7.0,59.787,SO
2019,7,8,AJM,11.0,24.0,3.0,45.833,SO
2019,7,9,AJM,20.0,36.0,8.0,62.766,SO
2019,7,10,AJM,8.0,16.0,3.0,33.333,SO
2019,7,11,AJM,14.0,31.0,5.0,53.83,SO
2019,7,12,AJM,24.0,48.0,5.0,68.723,SO
