FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,CUA,CUT,FAC,GAM,HGM,INN,MER,MGH,MON,MPA,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL
04/01/2018,1,14,30,33,-99,23,-99,-99,-99,-99,49,32,21,33,38,-99,-99,53,-99,37,20,-99,38,40,-99,45
04/01/2018,2,24,25,36,-99,28,-99,-99,-99,-99,48,35,23,33,34,-99,-99,55,-99,55,19,-99,24,39,-99,47
04/01/2018,3,27,19,45,-99,28,-99,-99,-99,-99,52,40,25,41,39,-99,-99,47,-99,30,17,-99,43,43,-99,44
04/01/2018,4,25,17,46,-99,33,-99,-99,-99,-99,52,50,25,35,43,-99,-99,49,-99,44,24,-99,43,45,-99,47
04/01/2018,5,27,19,45,-99,44,-99,-99,-99,-99,49,42,24,34,43,-99,-99,45,-99,36,23,-99,31,45,-99,53
04/01/2018,6,28,20,45,-99,41,-99,-99,-99,-99,50,43,25,49,49,-99,-99,51,-99,43,29,-99,39,48,-99,56
04/01/2018,7,21,21,42,-99,40,-99,-99,-99,-99,53,46,20,52,48,-99,-99,43,-99,48,29,-99,33,43,-99,63
04/01/2018,8,26,24,49,-99,39,-99,-99,-99,-99,56,-99,19,53,59,-99,-99,55,-99,57,30,-99,21,40,-99,56
04/01/2018,9,31,30,56,-99,35,-99,-99,-99,-99,59,-99,18,61,66,-99,-99,43,-99,65,29,-99,40,33,-99,74
04/01/2018,10,-99,24,60,-99,49,-99,-99,-99,-99,71,-99,22,62,72,-99,-99,72,-99,55,37,-99,65,41,-99,78
04/01/2018,11,-99,8,68,-99,53,-99,-99,-99,-99,69,-99,23,68,79,-99,-99,74,-99,83,45,-99,80,-99,-99,78
04/01/2018,12,-99,22,62,-99,49,-99,-99,-99,-99,66,56,21,64,67,-99,-99,72,-99,61,51,-99,65,-99,-99,53
04/01/2018,13,-99,31,48,-99,37,-99,-99,-99,-99,47,33,25,42,57,-99,-99,46,-99,39,51,-99,64,-99,-99,55
04/01/2018,14,-99,33,45,-99,45,-99,-99,-99,-99,63,58,29,56,49,-99,-99,33,-99,41,51,-99,47,41,-99,58
04/01/2018,15,-99,36,54,-99,48,-99,-99,-99,-99,74,55,32,53,59,-99,-99,35,-99,35,56,-99,44,31,-99,55
